PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
MN0000086,,,3634,Electric Housewares And Fans
MN0000256,,,2911,Petroleum Refining
MN0000264,,,2033,Canned Fruits And Vegetables
MN0000311,,,2026,Fluid Milk
MN0000337,,,3999,Manufacturing Industries
MN0000361,,,4011,"Railroads, Line-Haul Operating"
MN0000418,,,2911,Petroleum Refining
MN0000477,,,2033,Canned Fruits And Vegetables
MN0000485,,,4613,Refined Petroleum Pipelines
MN0000809,,,6512,Nonresidential Building Operators
MN0000825,,,4911,Electric Services
MN0000850,,,4911,Electric Services
MN0000868,,,4911,Electric Services
MN0000876,,,4911,Electric Services
MN0000884,,,4911,Electric Services
MN0000892,,,4911,Electric Services
MN0000906,,,4911,Electric Services
MN0000914,,,4953,Refuse Systems
MN0000957,,,4911,Electric Services
MN0000973,,,2621,Paper Mills
MN0000990,,,4911,Electric Services
MN0001007,,,4911,Electric Services
MN0001015,,,4961,Steam And Air-Conditioning Supply
MN0001139,,,4911,Electric Services
MN0001147,,,3321,Gray And Ductile Iron Foundries
MN0001171,,,2033,Canned Fruits And Vegetables
MN0001228,,,2075,Soybean Oil Mills
MN0001236,,,2033,Canned Fruits And Vegetables
MN0001279,,,2037,Frozen Fruits And Vegetables
MN0001287,,,2033,Canned Fruits And Vegetables
MN0001309,,,1442,Construction Sand And Gravel
MN0001317,,,2021,Creamery Butter
MN0001325,,,3496,Miscellaneous Fabricated Wire Products
MN0001333,,,2023,"Dry, Condensed, Evaporated Products"
MN0001422,,,2621,Paper Mills
MN0001449,,,2899,Chemical Preparations
MN0001465,,,1011,Iron Ores
MN0001554,,,4941,Water Supply
MN0001571,,,2033,Canned Fruits And Vegetables
MN0001686,,,2037,Frozen Fruits And Vegetables
MN0001716,,,1446,Industrial Sand
MN0001724,,,2431,Millwork
MN0001929,,,2063,Beet Sugar
MN0001937,,,2063,Beet Sugar
MN0001945,,,2063,Beet Sugar
MN0001988,,,4911,Electric Services
MN0001996,,,2038,Frozen Specialties
MN0002011,,,4911,Electric Services
MN0002101,,,4581,"Airports, Flying Fields, & Services"
MN0002119,,,2952,Asphalt Felts And Coatings
MN0002135,,,2022,"Cheese, Natural And Processed"
MN0002178,,,3711,Motor Vehicles And Car Bodies
MN0002186,,,4911,Electric Services
MN0002208,,,4911,Electric Services
MN0002224,,,1422,Crushed And Broken Limestone
MN0002275,,,6512,Nonresidential Building Operators
MN0002313,,,2077,Animal And Marine Fats And Oils
MN0002500,,,2015,Poultry Slaughtering And Processing
MN0002763,,,4941,Water Supply
MN0002968,,,8062,General Medical & Surgical Hospitals
MN0003042,,,3221,Glass Containers
MN0003069,,,4941,Water Supply
MN0003182,,,4941,Water Supply
MN0003247,,,4941,Water Supply
MN0003301,,,4911,Electric Services
MN0003379,,,4911,Electric Services
MN0003417,,,3081,Unsupported Plastics Film & Sheet
MN0003441,,,3081,Unsupported Plastics Film & Sheet
MN0003671,,,2021,Creamery Butter
MN0004006,,,4911,Electric Services
MN0004031,,,1423,Crushed And Broken Granite
MN0004111,,,4931,Electric And Other Services Combined
MN0004413,,,0921,Fish Hatcheries And Preserves
MN0004421,,,0921,Fish Hatcheries And Preserves
MN0004430,,,0921,Fish Hatcheries And Preserves
MN0020010,,,4952,Sewerage Systems
MN0020028,,,4952,Sewerage Systems
MN0020036,,,4952,Sewerage Systems
MN0020044,,,4952,Sewerage Systems
MN0020095,,,4952,Sewerage Systems
MN0020109,,,4952,Sewerage Systems
MN0020117,,,4952,Sewerage Systems
MN0020125,,,4952,Sewerage Systems
MN0020133,,,4952,Sewerage Systems
MN0020141,,,4952,Sewerage Systems
MN0020150,,,4952,Sewerage Systems
MN0020168,,,4952,Sewerage Systems
MN0020192,,,4952,Sewerage Systems
MN0020206,,,4952,Sewerage Systems
MN0020214,,,4952,Sewerage Systems
MN0020222,,,4952,Sewerage Systems
MN0020231,,,4952,Sewerage Systems
MN0020249,,,1011,Iron Ores
MN0020257,,,4952,Sewerage Systems
MN0020281,,,4952,Sewerage Systems
MN0020290,,,4952,Sewerage Systems
MN0020303,,,4952,Sewerage Systems
MN0020338,,,4952,Sewerage Systems
MN0020401,,,4952,Sewerage Systems
MN0020427,,,4952,Sewerage Systems
MN0020443,,,4952,Sewerage Systems
MN0020460,,,4952,Sewerage Systems
MN0020494,,,4952,Sewerage Systems
MN0020508,,,4952,Sewerage Systems
MN0020532,,,4952,Sewerage Systems
MN0020541,,,4952,Sewerage Systems
MN0020559,,,4952,Sewerage Systems
MN0020567,,,4952,Sewerage Systems
MN0020575,,,4952,Sewerage Systems
MN0020583,,,4952,Sewerage Systems
MN0020621,,,4952,Sewerage Systems
MN0020630,,,4952,Sewerage Systems
MN0020656,,,4952,Sewerage Systems
MN0020664,,,4952,Sewerage Systems
MN0020672,,,4952,Sewerage Systems
MN0020681,,,4952,Sewerage Systems
MN0020699,,,4952,Sewerage Systems
MN0020737,,,4952,Sewerage Systems
MN0020745,,,4952,Sewerage Systems
MN0020761,,,4952,Sewerage Systems
MN0020770,,,4952,Sewerage Systems
MN0020788,,,4952,Sewerage Systems
MN0020796,,,4952,Sewerage Systems
MN0020826,,,4952,Sewerage Systems
MN0020834,,,4952,Sewerage Systems
MN0020851,,,4952,Sewerage Systems
MN0020869,,,4952,Sewerage Systems
MN0020877,,,4952,Sewerage Systems
MN0020885,,,4952,Sewerage Systems
MN0020907,,,4952,Sewerage Systems
MN0020915,,,4952,Sewerage Systems
MN0020923,,,4952,Sewerage Systems
MN0020940,,,4952,Sewerage Systems
MN0020958,,,4952,Sewerage Systems
MN0020974,,,4952,Sewerage Systems
MN0021008,,,4952,Sewerage Systems
MN0021016,,,4952,Sewerage Systems
MN0021032,,,4952,Sewerage Systems
MN0021041,,,4952,Sewerage Systems
MN0021059,,,4952,Sewerage Systems
MN0021083,,,4952,Sewerage Systems
MN0021121,,,4952,Sewerage Systems
MN0021172,,,4952,Sewerage Systems
MN0021202,,,4952,Sewerage Systems
MN0021211,,,4952,Sewerage Systems
MN0021245,,,4952,Sewerage Systems
MN0021261,,,4952,Sewerage Systems
MN0021270,,,4952,Sewerage Systems
MN0021296,,,4952,Sewerage Systems
MN0021318,,,4952,Sewerage Systems
MN0021342,,,4952,Sewerage Systems
MN0021377,,,4952,Sewerage Systems
MN0021407,,,4952,Sewerage Systems
MN0021415,,,4952,Sewerage Systems
MN0021423,,,4952,Sewerage Systems
MN0021431,,,4952,Sewerage Systems
MN0021440,,,4952,Sewerage Systems
MN0021458,,,4952,Sewerage Systems
MN0021466,,,4952,Sewerage Systems
MN0021571,,,4952,Sewerage Systems
MN0021601,,,4952,Sewerage Systems
MN0021628,,,4952,Sewerage Systems
MN0021644,,,4952,Sewerage Systems
MN0021652,,,4952,Sewerage Systems
MN0021679,,,4952,Sewerage Systems
MN0021687,,,4952,Sewerage Systems
MN0021725,,,4952,Sewerage Systems
MN0021750,,,4952,Sewerage Systems
MN0021776,,,4952,Sewerage Systems
MN0021784,,,4952,Sewerage Systems
MN0021814,,,4952,Sewerage Systems
MN0021822,,,4952,Sewerage Systems
MN0021831,,,4952,Sewerage Systems
MN0021849,,,4952,Sewerage Systems
MN0021857,,,4952,Sewerage Systems
MN0021881,,,4952,Sewerage Systems
MN0021890,,,4952,Sewerage Systems
